transport_mode,km_per_month,flights_per_year,electricity_kwh,energy_source,heating_type,diet_type,food_source,food_waste_level,waste_kg,recycling,shopping_spend,co2_monthly_kg,emission_tier
car_electric,722.5,6,87.1,renewable,electric,omnivore,mixed,high,19.0,none,159.9,435.42,moderate
cycle,1009.3,0,243.4,renewable,none,meat_heavy,mixed,medium,25.2,none,141.4,331.54,low
car_electric,415.5,3,245.0,renewable,none,omnivore,mixed,high,23.5,some,171.8,387.72,low
car_petrol,569.1,2,175.5,mixed,electric,vegetarian,mixed,high,25.0,some,212.4,488.7,moderate
car_petrol,878.5,0,329.0,coal,gas,omnivore,mixed,medium,25.3,some,180.8,762.09,high
cycle,193.0,0,248.7,coal,electric,vegan,mixed,medium,36.0,some,111.2,317.0,low
car_petrol,232.4,4,293.9,mixed,electric,meat_heavy,local,low,22.7,most,70.7,462.03,moderate
car_petrol,242.4,1,240.8,mixed,electric,meat_heavy,imported,high,28.4,most,194.1,623.23,high
car_petrol,325.8,2,139.5,mixed,electric,vegetarian,local,low,33.8,some,144.4,358.11,low
motorbike,254.9,0,233.2,mixed,gas,omnivore,local,high,27.5,some,215.5,457.57,moderate
car_petrol,1242.1,1,341.3,coal,gas,omnivore,mixed,medium,14.0,most,166.3,759.41,high
car_petrol,337.3,0,24.8,renewable,gas,omnivore,imported,high,34.8,none,74.3,407.4,moderate
cycle,1096.3,3,395.8,coal,gas,omnivore,mixed,low,30.6,most,65.1,538.51,high
motorbike,216.3,0,195.8,mixed,oil,omnivore,mixed,medium,35.6,some,132.9,424.77,moderate
car_petrol,561.9,0,392.2,mixed,gas,meat_heavy,local,high,30.9,some,346.2,737.58,high
car_electric,352.7,1,344.6,mixed,gas,vegetarian,mixed,medium,19.6,none,66.0,353.58,low
bus,268.0,2,214.0,mixed,oil,vegetarian,local,medium,36.3,most,67.4,356.9,low
car_diesel,521.2,0,365.8,coal,gas,vegetarian,mixed,medium,23.6,some,35.6,499.23,moderate
car_petrol,480.4,1,325.2,renewable,gas,omnivore,mixed,medium,29.1,some,181.6,404.69,moderate
bus,557.5,1,266.5,renewable,electric,meat_heavy,imported,high,29.0,most,419.9,670.97,high
car_petrol,734.8,0,197.5,mixed,electric,vegan,mixed,medium,24.6,most,289.2,441.93,moderate
motorbike,380.3,4,347.2,mixed,gas,omnivore,local,high,9.6,most,70.3,480.87,moderate
motorbike,301.9,0,263.4,renewable,gas,meat_heavy,local,medium,20.9,none,128.0,284.26,low
car_electric,741.5,0,276.1,renewable,gas,omnivore,mixed,medium,25.5,most,159.3,300.41,low
car_petrol,297.2,0,184.5,coal,oil,meat_heavy,mixed,low,25.6,some,94.5,558.06,high
bus,763.8,0,99.7,renewable,oil,omnivore,local,medium,45.6,some,184.6,322.69,low
bus,147.6,3,201.0,coal,oil,omnivore,imported,high,24.4,most,115.9,595.84,high
car_petrol,633.8,10,134.0,coal,gas,vegan,local,medium,29.0,most,335.9,767.5,high
car_petrol,927.3,0,391.3,renewable,gas,omnivore,mixed,low,33.2,most,74.2,417.64,moderate
car_diesel,189.5,2,301.7,mixed,electric,vegan,mixed,low,10.5,most,170.4,301.52,low
motorbike,154.8,0,338.8,coal,electric,omnivore,mixed,medium,35.1,none,83.2,488.26,moderate
car_diesel,168.8,4,131.3,mixed,oil,vegetarian,imported,medium,25.7,some,89.6,441.84,moderate
car_petrol,656.1,2,262.0,coal,none,vegan,imported,medium,28.3,some,122.2,427.92,moderate
car_petrol,342.1,0,156.2,mixed,gas,omnivore,mixed,high,40.8,some,195.7,518.73,high
car_petrol,625.1,10,254.2,mixed,oil,omnivore,mixed,medium,23.5,some,261.6,782.73,high
car_diesel,378.4,0,76.0,mixed,gas,vegan,mixed,low,15.9,some,382.3,380.12,low
cycle,766.4,0,395.9,coal,gas,meat_heavy,mixed,medium,42.2,some,82.8,570.04,high
car_petrol,602.0,2,174.4,renewable,gas,meat_heavy,imported,high,29.6,none,164.5,700.24,high
car_petrol,148.1,2,136.8,mixed,gas,meat_heavy,mixed,low,27.8,some,230.2,504.62,moderate
bus,726.2,0,271.6,mixed,oil,vegetarian,mixed,high,31.1,some,210.4,500.69,moderate
car_petrol,360.3,0,175.0,renewable,oil,omnivore,local,low,29.9,some,123.4,314.78,low
train,1147.8,3,298.4,mixed,electric,vegan,local,high,28.5,some,106.8,353.03,low
car_petrol,141.4,0,336.9,renewable,none,vegan,mixed,low,43.7,some,115.2,171.74,low
car_petrol,103.5,2,351.0,coal,none,meat_heavy,mixed,high,41.1,some,50.5,581.27,high
cycle,680.2,0,231.4,coal,electric,omnivore,imported,medium,31.4,none,156.8,503.74,moderate
car_petrol,821.5,4,362.4,mixed,gas,meat_heavy,mixed,medium,32.9,most,73.4,702.72,high
car_petrol,309.7,0,339.6,coal,gas,omnivore,mixed,low,35.9,none,154.1,558.02,high
car_petrol,429.1,0,466.2,mixed,electric,meat_heavy,mixed,medium,27.8,most,101.3,535.97,high
car_diesel,486.4,3,154.4,coal,gas,meat_heavy,mixed,medium,28.6,some,78.5,654.96,high
car_diesel,602.7,0,260.3,renewable,electric,omnivore,mixed,medium,37.5,most,59.0,326.14,low
bus,1533.5,0,241.3,renewable,none,omnivore,local,medium,25.4,none,34.4,313.9,low
car_diesel,909.8,10,109.4,mixed,electric,vegetarian,imported,medium,48.0,most,189.0,683.77,high
bus,838.2,2,319.9,renewable,gas,meat_heavy,imported,low,27.7,most,228.5,549.59,high
car_diesel,56.4,0,283.7,coal,electric,omnivore,mixed,low,27.1,none,38.1,394.73,low
car_petrol,112.8,1,272.9,coal,electric,vegetarian,local,low,24.8,none,346.4,511.37,high
car_petrol,497.2,0,254.4,renewable,gas,meat_heavy,mixed,high,21.1,some,81.7,468.63,moderate
cycle,472.8,1,290.7,mixed,electric,omnivore,local,low,39.1,most,58.7,300.67,low
cycle,1042.6,2,247.2,mixed,oil,omnivore,local,high,48.0,some,57.0,448.1,moderate
car_diesel,285.4,10,276.7,coal,none,omnivore,imported,high,44.1,none,156.5,788.39,high
train,213.9,3,366.1,coal,electric,meat_heavy,mixed,medium,25.4,some,66.0,619.92,high
car_petrol,204.7,2,195.9,mixed,electric,omnivore,mixed,high,3.0,most,379.3,506.13,moderate
bus,159.9,2,311.2,mixed,none,meat_heavy,local,low,33.8,some,102.4,375.43,low
car_petrol,398.0,1,299.8,coal,gas,omnivore,imported,medium,37.2,some,37.6,579.75,high
car_petrol,390.4,0,416.2,coal,electric,omnivore,imported,medium,30.2,none,82.3,607.15,high
cycle,779.4,0,284.6,coal,electric,omnivore,imported,high,15.6,none,75.9,492.59,moderate
bus,793.5,2,450.0,coal,electric,vegetarian,local,low,15.6,most,234.4,593.99,high
car_petrol,867.8,10,98.3,coal,electric,omnivore,mixed,medium,33.7,most,283.8,799.74,high
car_petrol,245.6,0,181.7,renewable,gas,omnivore,imported,medium,28.3,some,52.8,310.84,low
cycle,619.8,1,425.2,coal,electric,vegan,local,medium,29.7,most,43.2,338.78,low
bus,789.5,4,201.9,coal,none,vegan,mixed,high,13.9,some,72.9,344.21,low
car_petrol,566.2,0,302.4,mixed,gas,omnivore,local,high,9.6,some,161.3,518.45,high
cycle,1297.4,10,215.4,renewable,gas,vegetarian,mixed,high,32.6,none,166.8,483.38,moderate
car_petrol,219.6,0,218.2,renewable,electric,vegetarian,local,high,27.7,some,190.7,268.26,low
car_diesel,202.2,1,295.7,mixed,gas,omnivore,mixed,low,28.5,some,164.2,420.44,moderate
car_petrol,300.0,0,244.4,mixed,none,meat_heavy,local,low,21.9,some,99.1,348.15,low
train,440.7,0,295.0,mixed,gas,vegetarian,mixed,low,50.9,some,232.4,397.85,low
train,433.2,0,234.3,coal,oil,meat_heavy,mixed,low,27.8,most,167.8,601.68,high
car_petrol,404.6,0,355.1,mixed,gas,omnivore,mixed,high,19.4,none,225.0,536.83,high
car_petrol,420.0,2,332.9,renewable,electric,omnivore,local,medium,32.6,some,76.8,344.94,low
car_petrol,483.8,6,177.8,coal,gas,vegetarian,mixed,low,41.0,most,142.0,584.11,high
car_petrol,594.8,0,368.0,coal,electric,vegetarian,mixed,medium,21.6,none,201.9,601.37,high
train,567.3,0,300.1,coal,gas,omnivore,mixed,medium,25.9,none,87.8,494.32,moderate
cycle,198.3,4,332.2,renewable,none,omnivore,mixed,medium,32.9,none,182.5,382.93,low
cycle,204.2,0,241.5,mixed,oil,meat_heavy,mixed,high,27.1,some,380.8,661.47,high
car_diesel,1001.3,2,306.1,mixed,gas,omnivore,local,low,25.9,none,67.7,592.58,high
bus,537.1,1,275.0,coal,oil,meat_heavy,mixed,low,42.5,none,41.9,584.48,high
car_diesel,277.7,4,61.5,mixed,gas,omnivore,mixed,low,12.7,none,238.7,478.22,moderate
bus,1328.5,2,417.5,mixed,electric,vegetarian,local,high,46.9,some,222.1,527.62,high
train,60.9,0,322.1,mixed,gas,meat_heavy,mixed,medium,17.8,some,314.3,530.73,high
train,254.3,2,137.2,mixed,gas,meat_heavy,local,high,31.5,most,133.0,495.05,moderate
train,396.7,3,144.7,coal,gas,vegetarian,mixed,medium,2.0,some,81.0,408.16,moderate
car_petrol,640.6,0,360.4,coal,gas,omnivore,local,high,19.6,none,64.2,601.27,high
car_petrol,436.8,0,31.8,mixed,oil,meat_heavy,mixed,high,36.8,some,37.9,518.92,high
cycle,648.9,2,137.1,mixed,none,omnivore,mixed,low,23.7,most,84.4,281.46,low
car_petrol,1379.5,2,265.9,mixed,gas,omnivore,mixed,low,24.3,none,155.0,751.89,high
car_electric,598.2,1,435.2,renewable,electric,meat_heavy,mixed,low,20.9,some,86.3,319.43,low
cycle,462.2,4,223.7,renewable,oil,meat_heavy,local,medium,12.4,none,107.2,419.22,moderate
bus,349.1,6,353.4,coal,electric,omnivore,mixed,medium,39.9,some,163.9,608.0,high
bus,467.6,0,219.9,coal,oil,omnivore,local,medium,24.0,some,121.8,531.45,high
car_electric,238.2,1,288.5,coal,gas,omnivore,mixed,medium,19.9,none,169.4,583.46,high
car_diesel,525.6,3,59.0,mixed,oil,omnivore,local,medium,21.9,none,103.3,462.88,moderate
car_diesel,925.3,2,221.0,mixed,oil,omnivore,imported,medium,31.7,some,70.8,606.66,high
train,571.8,2,261.4,mixed,gas,meat_heavy,mixed,medium,47.4,none,147.7,575.47,high
bus,541.0,2,228.3,coal,gas,omnivore,imported,medium,30.5,most,115.4,579.86,high
cycle,544.2,4,316.5,coal,none,vegetarian,mixed,high,34.2,most,149.1,441.87,moderate
car_petrol,435.6,2,222.7,coal,gas,vegetarian,local,high,32.3,some,198.9,584.16,high
car_petrol,307.0,10,256.3,coal,oil,omnivore,local,low,39.6,none,206.9,820.2,high
bus,65.3,1,311.0,mixed,electric,vegetarian,mixed,medium,40.2,some,299.9,393.56,low
car_diesel,447.0,2,261.1,mixed,electric,omnivore,local,low,33.5,some,80.4,415.32,moderate
car_petrol,189.5,0,242.5,coal,electric,meat_heavy,local,low,38.8,some,82.4,465.39,moderate
car_diesel,399.8,2,221.3,mixed,oil,omnivore,mixed,high,20.0,most,75.1,467.94,moderate
car_electric,504.3,0,295.8,renewable,none,vegetarian,local,medium,29.4,some,80.3,168.14,low
car_diesel,102.6,1,238.2,coal,gas,vegan,mixed,medium,28.8,some,112.9,394.74,low
cycle,697.4,0,275.8,renewable,gas,omnivore,local,low,11.0,some,78.5,172.82,low
train,630.7,3,191.8,mixed,gas,omnivore,mixed,medium,45.8,none,142.5,505.21,moderate
car_electric,648.7,2,92.6,mixed,electric,omnivore,local,medium,18.4,most,91.1,305.67,low
car_petrol,781.8,0,336.8,mixed,gas,vegan,mixed,medium,44.2,most,88.4,447.17,moderate
cycle,347.2,1,240.1,coal,gas,vegetarian,mixed,low,27.1,none,137.6,394.04,low
car_diesel,179.2,0,405.9,mixed,oil,omnivore,mixed,low,50.3,most,108.1,442.05,moderate
cycle,123.9,0,317.3,mixed,electric,omnivore,mixed,high,30.9,some,199.0,428.71,moderate
car_petrol,207.1,1,272.8,mixed,oil,meat_heavy,mixed,low,32.7,none,171.7,541.45,high
car_petrol,532.5,4,247.4,mixed,gas,omnivore,local,high,30.4,some,15.6,563.92,high
train,367.0,6,232.2,renewable,gas,vegetarian,imported,low,26.5,none,169.1,329.36,low
cycle,435.7,2,215.0,mixed,gas,omnivore,mixed,high,19.1,none,76.4,417.77,moderate
car_petrol,667.6,3,192.3,mixed,oil,omnivore,mixed,high,32.3,some,118.1,602.21,high
car_electric,302.4,0,237.0,renewable,none,meat_heavy,imported,medium,23.4,some,104.6,376.38,low
car_petrol,459.2,0,180.8,renewable,none,omnivore,imported,medium,18.6,some,173.0,372.01,low
bus,832.6,4,132.2,mixed,gas,omnivore,mixed,low,16.9,some,187.1,518.72,high
motorbike,835.7,3,247.7,coal,gas,omnivore,local,medium,10.3,some,120.0,573.88,high
car_petrol,368.9,0,264.0,coal,electric,omnivore,local,medium,35.3,some,87.6,461.81,moderate
cycle,694.8,6,273.9,mixed,gas,omnivore,mixed,low,22.2,most,205.8,552.98,high
train,460.7,0,267.8,mixed,electric,meat_heavy,mixed,high,2.0,some,121.2,432.76,moderate
car_petrol,188.2,1,279.4,coal,electric,omnivore,imported,low,31.0,some,38.2,504.3,moderate
bus,268.9,1,351.3,mixed,gas,vegetarian,local,medium,10.6,none,129.0,327.24,low
car_petrol,227.5,1,20.0,mixed,electric,meat_heavy,mixed,high,26.1,some,52.5,478.09,moderate
train,548.6,0,251.8,mixed,oil,meat_heavy,local,low,37.8,some,73.3,437.36,moderate
cycle,196.8,0,265.6,mixed,electric,omnivore,mixed,low,30.4,most,112.6,300.32,low
motorbike,444.8,0,270.8,mixed,gas,meat_heavy,local,medium,31.9,most,256.7,475.19,moderate
bus,911.4,0,228.9,mixed,oil,vegetarian,local,low,32.7,most,68.5,395.3,low
cycle,164.3,2,266.6,coal,gas,vegetarian,mixed,medium,22.4,most,114.0,444.76,moderate
car_petrol,530.9,0,106.2,mixed,electric,meat_heavy,mixed,high,32.6,most,154.1,556.51,high
car_petrol,998.5,2,232.8,mixed,gas,omnivore,mixed,medium,34.2,most,105.4,594.92,high
train,234.9,0,210.7,mixed,electric,meat_heavy,local,medium,27.3,none,78.3,386.91,low
train,135.4,0,340.7,mixed,gas,omnivore,local,low,12.7,most,122.4,348.42,low
car_diesel,397.9,2,427.9,mixed,oil,omnivore,mixed,high,12.4,none,106.6,596.52,high
motorbike,183.7,0,248.9,mixed,oil,meat_heavy,local,low,28.1,some,180.1,439.06,moderate
bus,698.8,2,89.9,mixed,gas,meat_heavy,mixed,low,31.2,some,76.9,475.74,moderate
car_petrol,234.5,0,152.3,mixed,none,meat_heavy,mixed,medium,25.5,some,224.1,446.54,moderate
car_petrol,587.1,4,196.2,mixed,electric,meat_heavy,mixed,medium,42.2,most,153.4,670.29,high
car_petrol,607.0,2,114.7,mixed,gas,omnivore,mixed,medium,38.8,some,209.0,596.97,high
cycle,688.4,3,199.8,mixed,none,vegetarian,mixed,medium,17.0,some,119.6,277.02,low
car_petrol,620.0,0,326.4,renewable,gas,vegetarian,imported,medium,35.7,none,60.4,388.61,low
cycle,449.2,3,56.2,coal,oil,meat_heavy,mixed,low,39.0,none,216.0,620.31,high
bus,781.4,0,273.5,mixed,gas,omnivore,local,medium,40.5,some,39.5,387.82,low
train,406.1,1,149.5,coal,gas,vegan,mixed,medium,40.4,some,95.5,340.66,low
car_petrol,253.6,10,163.9,coal,electric,meat_heavy,imported,low,43.1,some,80.3,712.32,high
car_petrol,158.0,1,167.0,mixed,none,omnivore,local,low,18.0,none,84.1,263.69,low
bus,203.8,6,324.7,coal,electric,vegetarian,mixed,medium,34.6,none,38.8,505.56,moderate
bus,506.7,2,229.4,mixed,gas,omnivore,imported,medium,27.6,none,166.5,508.34,moderate
car_petrol,434.6,3,234.3,renewable,gas,omnivore,mixed,medium,28.2,some,113.7,435.7,moderate
car_petrol,252.1,4,179.5,coal,gas,meat_heavy,mixed,medium,21.1,some,82.2,629.16,high
train,565.1,1,292.5,coal,electric,vegetarian,mixed,medium,26.1,none,80.0,369.24,low
car_diesel,508.8,2,229.2,mixed,gas,vegetarian,mixed,medium,42.5,some,84.0,454.63,moderate
car_petrol,445.9,1,77.2,renewable,gas,vegetarian,mixed,medium,21.0,most,87.3,286.12,low
cycle,241.9,2,220.2,mixed,gas,omnivore,mixed,medium,21.9,some,159.0,436.11,moderate
cycle,411.8,1,279.5,renewable,oil,meat_heavy,mixed,medium,14.0,none,121.1,355.48,low
train,478.9,2,292.6,coal,electric,meat_heavy,local,low,18.7,most,206.9,549.34,high
car_petrol,296.3,0,136.7,mixed,electric,meat_heavy,local,medium,20.6,none,75.6,347.3,low
car_electric,851.0,2,171.9,mixed,gas,vegetarian,mixed,medium,33.3,most,64.0,355.11,low
car_petrol,248.6,4,308.6,coal,electric,omnivore,local,high,27.5,some,72.1,526.79,high
car_petrol,662.1,1,283.5,renewable,electric,omnivore,mixed,medium,31.9,most,70.3,393.73,low
train,430.2,4,255.2,mixed,electric,vegan,local,medium,26.1,none,77.6,309.77,low
car_diesel,300.0,0,195.6,mixed,electric,vegetarian,local,low,5.9,some,105.8,268.51,low
train,291.9,2,257.4,mixed,oil,vegetarian,mixed,low,38.7,some,270.7,459.4,moderate
train,413.5,3,403.0,renewable,electric,omnivore,local,medium,38.7,some,67.9,297.81,low
car_petrol,360.2,1,123.5,coal,gas,omnivore,mixed,high,39.1,most,169.4,578.26,high
bus,428.0,0,303.8,coal,electric,omnivore,mixed,high,18.5,none,75.7,507.29,moderate
bus,246.6,0,73.4,coal,oil,meat_heavy,mixed,low,15.6,none,227.5,557.21,high
cycle,376.2,3,292.2,coal,gas,vegan,mixed,medium,12.6,none,59.7,399.88,moderate
car_diesel,521.3,2,378.8,coal,gas,vegetarian,mixed,high,38.7,some,338.1,763.89,high
cycle,978.9,1,176.3,coal,electric,vegan,imported,medium,43.3,some,172.1,375.6,low
car_petrol,1059.1,1,204.5,renewable,gas,omnivore,mixed,medium,14.9,most,195.7,491.41,moderate
bus,531.5,2,219.8,coal,oil,omnivore,mixed,high,31.4,none,123.2,649.24,high
car_electric,497.8,4,146.4,mixed,electric,omnivore,local,low,19.9,some,109.4,385.66,low
car_petrol,650.4,4,306.7,coal,oil,vegan,local,high,20.0,some,117.5,642.08,high
car_petrol,331.7,3,232.3,renewable,none,meat_heavy,mixed,low,21.4,some,75.3,363.02,low
train,342.0,0,206.2,coal,gas,omnivore,local,low,24.5,none,92.1,396.99,low
car_petrol,432.8,2,173.6,renewable,gas,omnivore,mixed,low,13.7,some,187.1,358.17,low
train,355.6,1,406.5,mixed,electric,vegetarian,imported,medium,24.8,some,100.7,383.87,low
motorbike,428.1,3,403.4,mixed,oil,omnivore,mixed,medium,23.1,most,147.2,551.86,high
bus,210.0,2,276.6,mixed,electric,meat_heavy,mixed,low,12.8,most,80.6,412.53,moderate
car_diesel,231.8,3,269.8,mixed,gas,omnivore,imported,high,33.2,most,61.5,540.23,high
car_petrol,575.8,4,298.1,mixed,gas,omnivore,mixed,low,40.3,some,63.5,549.79,high
cycle,100.1,0,59.1,mixed,gas,omnivore,imported,high,39.7,most,95.1,404.52,moderate
motorbike,231.1,4,295.7,coal,gas,omnivore,mixed,high,67.3,most,116.7,636.97,high
car_petrol,321.6,0,279.7,coal,gas,vegetarian,mixed,high,31.3,most,90.1,499.95,moderate
car_diesel,466.7,0,258.8,mixed,gas,omnivore,local,high,41.0,some,111.7,474.47,moderate
bus,671.5,4,209.0,mixed,gas,omnivore,imported,low,37.9,some,213.6,557.41,high
car_petrol,206.6,0,339.7,renewable,gas,omnivore,imported,low,23.3,most,145.4,320.97,low
cycle,459.9,1,20.0,mixed,oil,vegetarian,mixed,high,33.7,most,179.0,353.01,low
car_electric,229.9,4,352.2,coal,gas,meat_heavy,mixed,medium,16.9,none,147.8,655.49,high
car_diesel,130.6,1,243.8,coal,gas,omnivore,imported,medium,36.5,none,237.5,685.61,high
cycle,653.6,0,239.0,mixed,electric,meat_heavy,imported,low,28.9,most,269.5,520.31,high
bus,255.5,2,257.0,coal,none,vegetarian,imported,low,27.3,some,156.3,364.74,low
car_electric,374.3,2,293.7,mixed,oil,vegetarian,mixed,medium,12.5,some,82.0,391.0,low
car_petrol,175.1,0,20.0,mixed,oil,vegetarian,mixed,medium,32.1,most,106.8,309.58,low
car_petrol,1060.3,1,290.8,renewable,electric,vegetarian,local,medium,18.2,most,170.7,432.9,moderate
car_petrol,625.5,3,65.5,renewable,electric,omnivore,local,low,17.3,some,30.8,349.88,low
car_petrol,301.6,3,241.6,coal,oil,omnivore,local,medium,22.7,some,137.3,615.99,high
car_electric,488.1,1,396.9,mixed,oil,meat_heavy,imported,medium,25.7,some,227.5,674.34,high
motorbike,340.0,0,86.4,coal,gas,meat_heavy,imported,high,35.6,some,67.1,670.03,high
train,410.9,0,302.2,renewable,gas,omnivore,mixed,medium,32.4,most,53.7,224.91,low
car_petrol,798.1,1,285.0,coal,gas,meat_heavy,local,medium,30.5,some,87.9,659.97,high
train,562.8,1,217.8,coal,gas,omnivore,mixed,low,26.2,none,122.3,495.61,moderate
car_diesel,334.1,1,335.6,coal,none,omnivore,mixed,low,17.8,some,154.6,440.94,moderate
car_petrol,415.1,4,169.3,coal,gas,vegetarian,local,medium,8.7,some,76.9,494.55,moderate
train,219.9,0,208.7,mixed,gas,omnivore,local,low,21.1,some,63.1,313.48,low
car_petrol,247.5,0,182.3,mixed,oil,omnivore,imported,medium,32.8,some,75.8,456.75,moderate
cycle,394.3,10,330.4,renewable,gas,omnivore,mixed,medium,46.3,some,180.4,479.21,moderate
car_petrol,483.9,2,288.3,mixed,gas,vegetarian,local,high,34.6,most,74.3,432.15,moderate
bus,679.3,2,316.2,mixed,gas,vegetarian,local,medium,45.8,most,251.5,491.48,moderate
car_petrol,508.5,0,161.1,mixed,gas,omnivore,imported,medium,24.8,most,118.3,499.97,moderate
car_electric,380.3,0,340.7,renewable,gas,vegetarian,mixed,medium,15.5,some,34.4,185.22,low
car_electric,549.4,1,184.0,mixed,none,vegetarian,mixed,medium,26.8,most,139.5,268.4,low
bus,226.9,0,168.6,mixed,electric,omnivore,local,low,39.7,none,137.8,352.61,low
car_electric,675.2,0,314.9,mixed,gas,omnivore,local,medium,34.1,most,459.6,577.55,high
car_diesel,166.6,0,193.5,coal,none,omnivore,mixed,high,25.1,none,240.4,441.34,moderate
car_diesel,948.6,0,164.9,coal,electric,meat_heavy,mixed,medium,38.4,none,190.9,694.69,high
car_petrol,860.6,0,437.7,renewable,gas,meat_heavy,imported,low,17.9,some,222.8,664.5,high
car_petrol,486.6,0,168.6,mixed,oil,meat_heavy,mixed,medium,19.6,some,56.9,520.79,high
train,806.8,2,127.1,mixed,electric,omnivore,imported,low,26.5,some,59.3,417.4,moderate
car_diesel,377.8,6,393.2,coal,gas,omnivore,imported,medium,26.2,some,87.2,664.95,high
car_electric,300.4,4,88.5,mixed,gas,omnivore,local,high,14.4,none,151.9,448.83,moderate
motorbike,864.7,0,412.6,coal,gas,meat_heavy,mixed,low,28.8,some,76.6,589.7,high
train,687.0,0,327.5,mixed,gas,meat_heavy,local,medium,29.4,some,161.1,501.28,moderate
car_petrol,1195.5,3,213.6,coal,none,meat_heavy,imported,high,33.6,most,69.6,913.89,high
cycle,573.8,1,189.3,mixed,electric,omnivore,local,medium,24.0,none,47.9,291.05,low
car_petrol,545.3,1,287.6,mixed,electric,vegetarian,mixed,high,12.8,none,299.6,479.68,moderate
bus,566.6,0,263.1,mixed,electric,meat_heavy,mixed,low,21.9,some,93.7,419.85,moderate
car_diesel,411.3,1,199.5,mixed,oil,meat_heavy,mixed,low,29.3,some,73.7,517.39,high
car_petrol,456.0,0,265.8,mixed,gas,vegan,imported,low,14.6,most,113.4,358.18,low
motorbike,295.0,2,134.4,renewable,gas,omnivore,mixed,low,16.9,some,302.7,389.79,low
train,567.2,1,220.6,coal,oil,omnivore,mixed,medium,25.9,none,107.0,524.92,high
train,450.5,1,254.6,mixed,none,meat_heavy,mixed,medium,22.5,some,280.0,471.24,moderate
car_petrol,508.0,0,365.2,mixed,electric,vegan,local,medium,5.8,some,82.1,309.72,low
motorbike,139.1,2,155.4,coal,electric,omnivore,mixed,low,40.0,some,79.7,434.82,moderate
train,988.3,2,150.0,coal,gas,omnivore,mixed,low,27.6,most,29.2,449.66,moderate
car_petrol,604.2,1,261.1,coal,electric,omnivore,mixed,medium,27.6,most,123.7,590.96,high
bus,483.8,1,278.9,mixed,gas,omnivore,local,low,29.9,some,353.6,543.84,high
bus,456.6,0,133.6,mixed,oil,meat_heavy,mixed,medium,26.9,some,209.4,527.64,high
